name,counts,GeneSymbol
NM_001378026.1,54,NBEAL1
NM_015175.3,53,NBEAL2
NM_144658.4,52,DOCK11
NM_001293083.2,52,FER1L5
NM_033380.3,52,COL4A5
NM_018390.4,52,PLCXD1
NM_004947.5,52,DOCK3
NM_000089.4,51,COL1A2
NM_001093.4,51,ACACB
NM_004946.3,51,DOCK2
NM_015409.5,51,EP400
NM_024940.8,51,DOCK5
NM_000091.5,51,COL4A3
NM_001290223.2,51,DOCK1
NM_198578.4,50,LRRK2
NM_000090.4,50,COL3A1
NM_005751.5,49,AKAP9
NM_001858.6,49,COL19A1
NM_002458.3,48,MUC5B
NM_000720.4,48,CACNA1D
NM_003386.3,47,ZAN
NM_000876.4,47,IGF2R
NM_001205293.3,47,CACNA1E
NM_001365951.3,47,KIF1B
NM_001458.5,47,FLNC
NM_003235.5,47,TG
NM_001128840.3,47,CACNA1D
NM_015295.3,47,SMCHD1
NM_003105.6,47,SORL1
NM_000260.4,47,MYO7A
NM_203447.4,47,DOCK8
NM_000651.6,46,CR1
NM_001167623.2,46,CACNA1C
NM_001384950.1,46,NLRC5
NM_000718.4,46,CACNA1B
NM_021110.4,46,COL14A1
NM_000719.7,46,CACNA1C
NM_001363705.2,46,UBR2
NM_006031.6,46,PCNT
NM_080683.3,46,PTPN13
NM_001145026.2,46,PTPRQ
NM_001846.4,46,COL4A2
NM_001009921.3,46,VPS8
NM_001293626.2,46,MGAM2
NM_019112.4,45,ABCA7
NM_001457.4,45,FLNB
NM_001148.6,45,ANK2
NM_133433.4,45,NIPBL
NM_152744.4,44,SDK1
NM_005120.3,44,MED12
NM_004654.4,43,USP9Y
NM_015354.3,43,NUP188
NM_001039591.3,43,USP9X
NM_001290321.3,43,DMXL1
NM_004341.5,43,CAD
NM_032142.4,43,CEP192
NM_001375567.1,42,FOCAD
NM_001018115.3,42,FANCD2
NM_001079521.2,42,KTN1
NM_015135.3,42,NUP205
NM_001350145.3,42,PATJ
NM_032450.3,41,MROH1
NM_007018.6,41,CNTRL
NM_001145809.2,41,MYH14
NM_001855.5,41,COL15A1
NM_001242896.3,41,DEPDC5
NM_001379500.1,41,COL18A1
NM_032608.7,41,MYO18B
NM_001271938.2,41,MEGF8
NM_144666.3,40,DNHD1
NM_007293.3,40,C4A
NM_020120.4,40,UGGT1
NM_015313.3,40,ARHGEF12
NM_001368882.1,40,COL13A1
NM_001002029.4,40,C4B
NM_005876.5,40,SPEG
NM_000548.5,40,TSC2
NM_145294.5,40,WDR90
NM_015040.4,40,PIKFYVE
NM_001005273.3,39,CHD3
NM_024870.4,39,PREX2
NM_001142308.3,39,MALRD1
NM_001371189.2,39,UNC13B
NM_015089.4,39,CUL9
NM_001024383.2,39,NAV3
NM_001039112.2,39,FER1L6
NM_138360.4,39,CARMIL3
NM_000213.5,38,ITGB4
NM_018429.3,38,BDP1
NM_003024.3,38,ITSN1
NM_004145.4,38,MYO9B
NM_172070.4,38,UBR3
NM_001377137.1,38,GBF1
NM_001013703.4,38,EIF2AK4
NM_006420.3,38,ARFGEF2
NM_005993.5,38,TBCD
NM_001372043.1,37,PCSK5
NM_004606.5,37,TAF1
NM_003972.3,37,BTAF1
NM_015151.4,37,DIP2A
NM_000227.6,37,LAMA3
NM_001013838.3,37,CARMIL2
NM_018398.3,37,CACNA2D3
NM_145117.5,37,NAV2
NM_003870.4,37,IQGAP1
NM_001271.4,37,CHD2
NM_173602.3,37,DIP2B
NM_022064.5,37,RNF123
NM_018896.5,37,CACNA1G
NM_001875.5,37,CPS1
NM_001304359.2,37,MUC5AC
NM_001308319.2,37,CHD9
NM_016529.6,36,ATP8A2
NM_014727.3,36,KMT2B
NM_014675.5,36,CROCC
NM_004787.4,36,SLIT2
NM_015018.4,36,DOP1A
NM_007335.4,36,DLEC1
NM_024867.4,36,SPEF2
NM_017780.4,36,CHD7
NM_001113378.2,36,FANCI
NM_005088.3,36,AKAP17A
NM_001377142.1,36,PLCB4
NM_006197.4,36,PCM1
NM_017640.6,36,CARMIL1
NM_021096.4,36,CACNA1I
NM_014810.5,36,CEP350
NM_001330360.2,36,POLA1
NM_001197104.2,35,KMT2A
NM_001320714.2,35,DOP1B
NM_153046.3,35,TDRD9
NM_003170.5,35,SUPT6H
NM_020893.6,35,CCDC180
NM_014982.3,35,PCNX1
NM_003970.4,35,MYOM2
NM_012295.4,35,CABIN1
NM_006633.5,35,IQGAP2
NM_025132.4,35,WDR19
NM_005085.4,35,NUP214
NM_007200.5,35,AKAP13
NM_198576.4,35,AGRN
NM_024694.4,35,ADGB
NM_001378615.1,35,CC2D2A
NM_005393.3,34,PLXNB3
NM_001387283.1,34,SMARCA4
NM_001177693.2,34,ARHGEF28
NM_020242.3,34,KIF15
NM_015026.3,34,MON2
NM_018151.5,34,RIF1
NM_003128.3,34,SPTBN1
NM_138995.5,34,MYO3B
NM_001159.4,34,AOX1
NM_014976.2,34,PDCD11
NM_032223.4,34,PCNX3
NM_052997.3,34,ANKRD30A
NM_144670.6,34,A2ML1
NM_001131007.2,34,TMEM131L
NM_001198950.3,34,MYO16
NM_031277.3,34,RNF17
NM_020971.3,34,SPTBN4
NM_001848.3,34,COL6A1
NM_017747.3,33,ANKHD1
NM_015032.4,33,PDS5B
NM_020761.3,33,RPTOR
NM_020882.4,33,COL20A1
NM_020340.5,33,ARFGEF3
NM_021098.3,33,CACNA1H
NM_004999.4,33,MYO6
NM_001386888.1,33,AFDN
NM_001283009.2,33,RTEL1
NM_003072.5,33,SMARCA4
NM_001349008.3,33,CC2D2B
NM_206943.4,33,LTBP1
NM_001408.3,33,CELSR2
NM_001387844.1,33,PRRC2C
NM_000553.6,33,WRN
NM_001105244.2,32,PTPRM
NM_024652.6,32,LRRK1
NM_006846.4,32,SPINK5
NM_000501.4,32,ELN
NM_001282717.2,32,STAG3
NM_017433.5,32,MYO3A
NM_032999.4,32,GTF2I
NM_000642.3,32,AGL
NM_020759.3,32,STARD9
NM_015275.3,32,WASHC4
NM_175940.3,32,DUOX1
NM_133493.5,32,CD109
NM_001199097.2,32,BAIAP3
NM_173615.5,32,VWA3A
NM_001042750.2,32,STAG2
NM_003070.5,32,SMARCA2
NM_000254.3,32,MTR
NM_001318852.2,31,MAPK8IP3
NM_001284259.2,31,KIF20B
NM_001330640.2,31,DENND4C
NM_001853.4,31,COL9A3
NM_001007467.3,31,SFI1
NM_002661.5,31,PLCG2
NM_002838.5,31,PTPRC
NM_001351305.2,31,CROCC2
NM_015192.4,31,PLCB1
NM_001080534.3,31,UNC13C
NM_001166114.2,31,PNPLA6
NM_001288772.2,31,PIK3C2G
NM_144777.3,31,SCEL
NM_002660.3,31,PLCG1
NM_017514.5,31,PLXNA3
NM_007186.6,31,CEP250
NM_006662.3,31,SRCAP
NM_153827.5,31,MINK1
NM_003959.3,31,HIP1R
NM_000392.5,31,ABCC2
NM_014668.4,31,GREB1
NM_001324418.2,31,ADAM22
NM_001083961.2,31,WDR62
NM_002840.5,31,PTPRF
NM_004859.4,31,CLTC
NM_014738.6,30,TMEM94
NM_014956.5,30,CEP164
NM_014648.4,30,DZIP3
NM_003176.4,30,SYCP1
NM_004996.4,30,ABCC1
NM_001144967.3,30,NEDD4L
NM_020314.7,30,VPS35L
NM_001429.4,30,EP300
NM_001329943.3,30,KIAA0586
NM_005337.5,30,NCKAP1L
NM_001306080.2,30,LMO7
NM_000293.3,30,PHKB
NM_001004067.4,30,NOMO3
NM_001330074.2,30,WASHC2C
NM_002209.3,30,ITGAL
NM_001750.7,30,CAST
NM_001042545.2,30,LTBP4
NM_032242.4,30,PLXNA1
NM_007023.4,30,RAPGEF4
NM_016341.4,30,PLCE1
NM_001005751.3,30,WASHC2A
NM_000932.5,30,PLCB3
NM_002465.4,30,MYBPC1
NM_152513.4,30,MEI1
NM_015072.5,30,TTLL5
NM_001306089.2,30,ZNF236
NM_014865.4,30,NCAPD2
NM_001142966.3,30,GREB1L
NM_001256470.2,30,PLEKHA5
NM_005761.3,30,PLXNC1
NM_020822.3,30,KCNT1
NM_198241.3,30,EIF4G1
NM_014287.4,30,NOMO1
NM_001080437.3,30,SNED1
NM_013318.4,30,PRRC2B
NM_003786.4,30,ABCC3
NM_015292.3,30,ESYT1
NM_002210.5,29,ITGAV
NM_014608.6,29,CYFIP1
NM_000632.4,29,ITGAM
NM_003637.5,29,ITGA10
NM_178009.5,29,DGKH
NM_006039.5,29,MRC2
NM_023015.5,29,INTS3
NM_001276277.3,29,PPIP5K2
NM_018023.5,29,YEATS2
NM_004638.4,29,PRRC2A
NM_014994.3,29,MAPKBP1
NM_001704.3,29,ADGRB3
NM_005095.3,29,ZMYM4
NM_052989.3,29,IFT122
NM_133178.4,29,PTPRU
NM_002851.3,29,PTPRZ1
NM_173176.3,29,PTK2B
NM_012291.5,29,ESPL1
NM_012310.5,29,KIF4A
NM_014616.3,29,ATP11B
NM_130837.3,29,OPA1
NM_001291415.2,29,KDM6A
NM_001037333.3,29,CYFIP2
NM_000887.5,29,ITGAX
NM_152879.3,29,DGKD
NM_001382391.1,29,CSPP1
NM_152643.8,29,KNDC1
NM_001330588.2,29,TPP2
NM_198531.5,29,ATP9B
NM_002203.4,29,ITGA2
NM_012255.5,29,XRN2
NM_001702.3,29,ADGRB1
NM_001112732.3,29,MCF2L
NM_005353.3,29,ITGAD
NM_002841.4,29,PTPRG
NM_002438.4,29,MRC1
NM_001130158.3,29,MYO1B
NM_017721.5,28,CC2D1A
NM_170754.4,28,TNS2
NM_015205.3,28,ATP11A
NM_001281740.3,28,FHOD3
NM_006267.5,28,RANBP2
NM_207303.4,28,ATRNL1
NM_001346231.2,28,RELCH
NM_001164664.2,28,MAST4
NM_005445.4,28,SMC3
NM_020336.4,28,RALGAPB
NM_001330672.2,28,LIMCH1
NM_139321.3,28,ATRN
NM_022828.5,28,YTHDC2
NM_033395.2,28,CEP295
NM_181501.2,28,ITGA1
NM_016338.5,28,IPO11
NM_018117.12,28,WDR11
NM_021942.6,28,TRAPPC11
NM_172069.4,28,PLEKHH2
NM_001111020.3,28,SUPT5H
NM_015112.3,28,MAST2
NM_014329.5,28,EDC4
NM_002499.4,28,NEO1
NM_001040274.3,28,SYCP2L
NM_001304284.2,28,USP6
NM_001040272.6,28,ADAMTSL1
NM_001080391.2,28,SP100
NM_139027.6,28,ADAMTS13
NM_001366900.1,28,TTC21A
NM_198465.4,28,NRK
NM_207517.3,28,ADAMTSL3
NM_005215.4,28,DCC
NM_001304331.2,28,PPFIA4
NM_020442.6,28,VARS2
NM_032482.3,27,DOT1L
NM_181265.4,27,WDR17
NM_015202.5,27,KATNIP
NM_020401.4,27,NUP107
NM_006059.4,27,LAMC3
NM_001567.4,27,INPPL1
NM_014629.4,27,ARHGEF10
NM_021185.5,27,CATSPERG
NM_213655.5,27,WNK1
NM_001080415.2,27,U2SURP
NM_198551.4,27,MIA3
NM_001282659.2,27,USP47
NM_004533.4,27,MYBPC2
NM_003622.4,27,PPFIBP1
NM_015024.5,27,XPO7
NM_001105562.3,27,UBE4B
NM_017667.4,27,VPS50
NM_001293298.2,27,CEMIP
NM_020715.3,27,PLEKHH1
NM_001378204.1,27,CCDC18
NM_015052.5,27,HECW1
NM_001367482.1,27,WDR64
NM_144672.4,27,OTOA
NM_001005388.3,27,NFASC
NM_001017915.3,27,INPP5D
NM_002293.4,27,LAMC1
NM_022370.4,27,ROBO3
NM_003565.4,27,ULK1
NM_006929.5,27,SKIV2L
NM_024662.3,27,NAT10
NM_000885.6,27,ITGA4
NM_005228.5,27,EGFR
NM_001367823.1,27,ARHGEF18
NM_182641.4,27,BPTF
NM_001982.4,27,ERBB3
NM_032293.5,27,GARNL3
NM_153704.6,27,TMEM67
NM_018082.6,27,POLR3B
NM_013367.3,27,ANAPC4
NM_018979.4,27,WNK1
NM_003887.3,27,ASAP2
NM_002207.3,27,ITGA9
NM_004984.4,27,KIF5A
NM_006044.4,27,HDAC6
NM_022897.5,27,RANBP17
NM_018125.4,27,ARHGEF10L
NM_001080539.2,27,CCDC150
NM_003660.4,27,PPFIA3
NM_015285.3,26,WDR7
NM_001163941.2,26,ABCB5
NM_006729.5,26,DIAPH2
NM_001127392.3,26,MYRF
NM_020777.3,26,SORCS2
NM_001370597.1,26,ATP8B2
NM_014497.5,26,ZNF638
NM_031418.4,26,ANO3
NM_001367949.2,26,FAT3
NM_001378687.1,26,ATP2C1
NM_003747.3,26,TNKS
NM_001046.3,26,SLC12A2
NM_001377448.1,26,BAHCC1
NM_144992.5,26,VWA3B
NM_015360.5,26,MTREX
NM_017901.6,26,TPCN1
NM_024757.5,26,EHMT1
NM_001357.5,26,DHX9
NM_020925.4,26,CACHD1
NM_014978.3,26,SORCS3
NM_015440.5,26,MTHFD1L
NM_003898.4,26,SYNJ2
NM_001031836.3,26,KCNU1
NM_004706.4,26,ARHGEF1
NM_001099922.3,26,ALG13
NM_001316349.2,26,THSD7B
NM_206920.3,26,MAMDC4
NM_006909.3,26,RASGRF2
NM_002390.6,26,ADAM11
NM_032251.6,26,CCDC88B
NM_000492.4,26,CFTR
NM_025235.4,26,TNKS2
NM_018995.3,26,MOV10L1
NM_012393.3,26,PFAS
NM_001103146.3,26,GIGYF2
NM_000321.3,26,RB1
NM_014861.4,26,ATP2C2
NM_001849.4,26,COL6A2
NM_005922.4,26,MAP3K4
NM_005956.4,26,MTHFD1
NM_001080477.4,26,TENM3
NM_017864.4,26,INTS8
NM_007237.5,26,SP140
NM_001370785.2,26,LRRC7
NM_004448.4,26,ERBB2
NM_005428.4,26,VAV1
NM_001160331.2,26,NFASC
NM_130466.4,25,UBE3B
NM_020829.4,25,RIC1
NM_138782.3,25,FCHO2
NM_014808.4,25,FARP2
NM_001330260.2,25,SCN8A
NM_014003.4,25,DHX38
NM_001126108.2,25,SLC12A3
NM_005885.4,25,MARCHF6
NM_005766.4,25,FARP1
NM_001079910.2,25,LRRIQ1
NM_015585.4,25,CFAP61
NM_014847.4,25,UBAP2L
NM_014975.3,25,MAST1
NM_052905.4,25,FMNL2
NM_015122.3,25,FCHO1
NM_002830.4,25,PTPN4
NM_000059.4,25,BRCA2
NM_001040142.2,25,SCN2A
NM_002271.6,25,IPO5
NM_001365906.3,25,PAPLN
NM_000603.5,25,NOS3
NM_003812.4,25,ADAM23
NM_001283041.3,25,USP25
NM_181861.2,25,APAF1
NM_017738.4,25,CNTLN
NM_014191.4,25,SCN8A
NM_000338.3,25,SLC12A1
NM_015690.5,25,STK36
NM_005892.4,25,FMNL1
NM_130797.4,25,DPP6
NM_006784.3,25,WDR3
NM_004939.3,25,DDX1
NM_005685.4,25,GTF2IRD1
NM_003626.5,25,PPFIA1
NM_020708.5,25,SLC12A5
NM_001040455.2,25,SIDT2
NM_030667.3,25,PTPRO
NM_002691.4,25,POLD1
NM_001371623.1,25,TCOF1
NM_001308330.2,25,STXBP5L
NM_024615.4,25,PARP8
NM_030653.4,25,DDX11
NM_001286615.2,25,ANO4
NM_001178015.2,25,SLC4A10
NM_001367799.1,25,ZSWIM8
NM_001371246.1,25,SCN2A
NM_006614.4,25,CHL1
NM_001031698.3,25,PRPF40B
NM_020868.6,25,DPP10
NM_006531.5,24,IFT88
NM_032291.4,24,SGIP1
NM_012197.4,24,RABGAP1
NM_139075.4,24,TPCN2
NM_006208.3,24,ENPP1
NM_001098497.3,24,SGSM1
NM_033394.3,24,TANC1
NM_001366446.1,24,RABGAP1L
NM_001202438.2,24,EDRF1
NM_001387552.1,24,ADGRL3
NM_002890.3,24,RASA1
NM_001031803.2,24,LLGL2
NM_144696.6,24,AXDND1
NM_145004.7,24,ADAM32
NM_018051.5,24,DYNC2I1
NM_000789.4,24,ACE
NM_005021.5,24,ENPP3
NM_004522.3,24,KIF5C
NM_014633.5,24,CTR9
NM_005732.4,24,RAD50
NM_003334.4,24,UBA1
NM_001114.5,24,ADCY7
NM_015978.3,24,TNNI3K
NM_017699.3,24,SIDT1
NM_002647.4,24,PIK3C3
NM_006391.3,24,IPO7
NM_001282680.3,24,GAPVD1
NM_182931.3,24,KMT2E
NM_001282663.2,24,MICAL2
NM_000938.3,24,POLR2B
NM_014494.4,24,TNRC6A
NM_017636.4,24,TRPM4
NM_198827.5,24,ADGRD1
NM_018433.6,24,KDM3A
NM_001177306.2,24,PAM
NM_198569.3,24,ADGRG6
NM_001025091.2,24,ABCF1
NM_001352754.2,24,ARMC9
NM_144508.5,24,KNL1
NM_002204.4,24,ITGA3
NM_033401.5,24,CNTNAP4
NM_002843.4,24,PTPRJ
NM_000210.4,24,ITGA6
NM_001079673.2,24,FNDC3A
NM_001378107.1,24,R3HDM1
NM_015466.4,24,PTPN23
NM_001100913.3,24,PACS2
NM_022763.4,24,FNDC3B
NM_020546.3,24,ADCY2
NM_058237.2,24,PPP4R4
NM_004938.4,24,DAPK1
NM_016106.4,24,SCFD1
NM_015110.4,24,SMC5
NM_182530.3,24,MYRFL
NM_001039960.3,24,SLC4A8
NM_012426.5,24,SF3B3
NM_173550.4,24,CCDC171
NM_002481.4,23,PPP1R12B
NM_015245.3,23,ANKS1A
NM_152432.4,23,ARHGAP42
NM_001364716.4,23,MPRIP
NM_014390.4,23,SND1
NM_005778.4,23,RBM5
NM_020909.4,23,EPB41L5
NM_003601.4,23,SMARCA5
NM_002504.6,23,NFX1
NM_018237.4,23,CCAR1
NM_003632.3,23,CNTNAP1
NM_015571.4,23,SENP6
NM_001098484.3,23,SLC4A4
NM_025009.5,23,CEP135
NM_012233.3,23,RAB3GAP1
NM_015085.5,23,RAP1GAP2
NM_002663.5,23,PLD2
NM_001316.4,23,CSE1L
NM_003715.4,23,USO1
NM_031414.5,23,STK31
NM_001253697.2,23,ERBIN
NM_014283.5,23,SUCO
NM_002439.5,23,MSH3
NM_001367498.1,23,CNTNAP5
NM_014606.3,23,HERC3
NM_002270.4,23,TNPO1
NM_001963.6,23,EGF
NM_018026.4,23,PACS1
NM_001201427.2,23,DAAM2
NM_024586.6,23,OSBPL9
NM_018085.5,23,IPO9
NM_016128.4,23,COPG1
NM_018685.5,23,ANLN
NM_006506.5,23,RASA2
NM_172166.4,23,MSH5
NM_144963.4,23,FAM91A1
NM_000070.3,23,CAPN3
NM_024080.5,23,TRPM8
NM_016604.4,23,KDM3B
NM_178140.4,23,PDZD2
NM_001137550.2,23,LRRFIP1
NM_007235.6,23,XPOT
NM_001270520.2,23,DAAM1
NM_012454.4,23,TIAM2
NM_015904.4,23,EIF5B
NM_006323.5,23,SEC24B
NM_018259.6,23,TTC17
NM_000282.4,23,PCCA
NM_001005373.4,23,LRSAM1
NM_004415.4,23,DSP
NM_020366.4,23,RPGRIP1
NM_001256545.2,23,MEGF10
NM_000414.4,23,HSD17B4
NM_001199417.2,23,ARHGAP23
NM_002807.4,23,PSMD1
NM_014141.6,23,CNTNAP2
NM_207361.6,23,FREM2
NM_052902.4,23,STK11IP
NM_001258315.2,23,ECT2
NM_181552.4,23,CUX1
NM_001316309.2,23,WDR97
NM_001367805.3,23,KIF23
NM_000276.4,23,OCRL
NM_006444.3,23,SMC2
NM_001370694.2,23,ANO7
NM_022575.4,23,VPS16
NM_015226.3,23,CLEC16A
NM_014853.3,23,SGSM2
NM_017952.6,23,PTCD3
NM_130787.3,22,AP2A1
NM_005562.3,22,LAMC2
NM_000701.8,22,ATP1A1
NM_001382344.1,22,RGPD1
NM_001164273.2,22,MGA
NM_031913.5,22,ESYT3
NM_198529.4,22,EFCAB5
NM_032532.3,22,FNDC1
NM_001375584.1,22,SMG7
NM_014671.3,22,UBE3C
NM_015027.4,22,PDXDC1
NM_001277372.4,22,KIAA2012
NM_003621.5,22,PPFIBP2
NM_018426.3,22,TMEM63B
NM_002892.4,22,ARID4A
NM_133638.6,22,ADAMTS19
NM_001300860.2,22,DDX46
NM_004817.4,22,TJP2
NM_001270454.2,22,WWP2
NM_001271049.2,22,CFAP221
NM_017679.5,22,BCAS3
NM_003594.4,22,TTF2
NM_015137.6,22,EFR3A
NM_007013.4,22,WWP1
NM_001165978.3,22,PROM2
NM_017912.4,22,HERC6
NM_002911.4,22,UPF1
NM_002858.4,22,ABCD3
NM_024605.4,22,ARHGAP10
NM_024949.6,22,WWC2
NM_001843.4,22,CNTN1
NM_007058.4,22,CAPN11
NM_153834.4,22,ADGRG4
NM_000459.5,22,TEK
NM_031483.7,22,ITCH
NM_015050.3,22,CMTR1
NM_001382548.1,22,TCERG1
NM_001134225.2,22,INPP4A
NM_001377540.1,22,SLMAP
NM_020159.5,22,SMARCAD1
NM_002078.5,22,GOLGA4
NM_001039706.3,22,CFAP69
NM_020937.4,22,FANCM
NM_005424.5,22,TIE1
NM_139281.3,22,WDR36
NM_006310.4,22,NPEPPS
NM_012292.5,22,ARHGAP45
NM_019063.5,22,EML4
NM_052903.6,22,TUBGCP5
NM_014945.5,22,ABLIM3
NM_182588.3,22,RGPD4
NM_014265.6,22,ADAM28
NM_005422.4,22,TECTA
NM_173651.4,22,FSIP2
NM_001676.7,22,ATP12A
NM_181453.4,22,GCC2
NM_014361.4,22,CNTN5
NM_001135608.3,22,ARHGAP26
NM_001164586.2,22,IGFN1
NM_032523.4,22,OSBPL6
NM_002335.4,22,LRP5
NM_018060.4,22,IARS2
NM_139056.4,22,ADAMTS16
NM_005054.3,22,RGPD5
NM_003274.5,22,TRAPPC10
NM_004284.6,22,CHD1L
NM_145059.3,22,FCSK
NM_001378454.1,22,ALMS1
NM_002486.5,22,NCBP1
NM_014971.2,22,EFR3B
NM_031431.4,22,COG3
NM_001366006.2,22,ADGRL2
NM_001110303.4,22,USP20
NM_004327.4,22,BCR
NM_004941.3,22,DHX8
NM_000083.3,22,CLCN1
NM_024857.5,22,ATAD5
NM_001162501.2,22,TNRC6B
NM_015238.3,22,WWC1
NM_001352890.3,22,DENND3
NM_004972.4,22,JAK2
NM_001302769.2,22,PARD3B
NM_005676.5,22,RBM10
NM_001386094.1,22,AGBL1
NM_016323.4,22,HERC5
NM_001002800.3,22,SMC4
NM_021982.3,22,SEC24A
NM_018071.5,22,ARHGEF40
NM_003998.4,22,NFKB1
NM_001286.5,22,CLCN6
NM_001913.5,22,CUX1
NM_197968.4,22,ZMYM2
NM_001211.6,22,BUB1B
NM_015215.4,22,CAMTA1
NM_020806.5,22,GPHN
NM_003611.3,22,OFD1
NM_001345.5,22,DGKA
NM_014845.6,22,FIG4
NM_207197.3,22,ADAM15
NM_000702.4,22,ATP1A2
NM_001004416.3,21,UMODL1
NM_018255.4,21,ELP2
NM_002605.3,21,PDE8A
NM_005070.4,21,SLC4A3
NM_144699.4,21,ATP1A4
NM_007289.4,21,MME
NM_012096.3,21,APPL1
NM_001640.4,21,APEH
NM_006453.3,21,TBL3
NM_021931.4,21,DHX35
NM_017590.6,21,ZC3H7B
NM_003719.5,21,PDE8B
NM_018981.4,21,DNAJC10
NM_024913.5,21,CPED1
NM_014638.4,21,PLCH2
NM_015888.6,21,HOOK1
NM_004408.4,21,DNM1
NM_020775.5,21,ELAPOR1
NM_032410.4,21,HOOK3
NM_152558.5,21,IQCE
NM_181672.3,21,OGT
NM_003995.4,21,NPR2
NM_014927.5,21,CNKSR2
NM_198597.3,21,SEC24C
NM_001378068.1,21,ANKAR
NM_006892.4,21,DNMT3B
NM_001385001.1,21,MCTP2
NM_001130957.2,21,CATSPERE
NM_020428.4,21,SLC44A2
NM_005392.4,21,PHF2
NM_175607.3,21,CNTN4
NM_145172.5,21,DNAI3
NM_152784.4,21,CATSPERD
NM_002265.6,21,KPNB1
NM_152259.4,21,TICRR
NM_004523.4,21,KIF11
NM_004712.5,21,HGS
NM_004434.3,21,EML1
NM_012305.4,21,AP2A2
NM_020453.4,21,ATP10D
NM_014753.4,21,BMS1
NM_003759.4,21,SLC4A4
NM_001378189.1,21,CFAP57
NM_198428.3,21,BBS9
NM_000444.6,21,PHEX
NM_000186.4,21,CFH
NM_020431.4,21,TMEM63C
NM_152347.5,21,EFCAB13
NM_001320047.2,21,C1orf112
NM_018063.5,21,HELLS
NM_001289080.2,21,CNTN6
NM_013355.5,21,PKN3
NM_145647.4,21,TBC1D31
NM_000283.4,21,PDE6B
NM_005026.5,21,PIK3CD
NM_000052.7,21,ATP7A
NM_020318.3,21,PAPPA2
NM_014000.3,21,VCL
NM_002215.4,21,ITIH1
NM_005076.5,21,CNTN2
NM_022894.4,21,PAPOLG
NM_001195626.3,21,MLLT10
NM_001164161.2,21,PPP6R3
NM_080722.4,21,ADAMTS14
NM_002626.6,21,PFKL
NM_001135629.3,21,PPP1R21
NM_020762.4,21,SRGAP1
NM_004140.4,21,LLGL1
NM_000289.6,21,PFKM
NM_002627.5,21,PFKP
NM_003040.4,21,SLC4A2
NM_015267.4,21,CUX2
NM_000906.4,21,NPR1
NM_001354046.2,21,ARHGEF7
NM_001371242.2,21,CRYBG1
NM_003817.4,21,ADAM7
NM_014716.4,21,ACAP1
NM_004136.4,21,IREB2
NM_003816.3,21,ADAM9
NM_005611.4,21,RBL2
NM_001039464.4,21,MROH7
NM_002541.4,21,OGDH
NM_145160.3,21,MAP2K5
NM_001322934.2,21,NFKB2
NM_022455.5,21,NSD1
NM_002372.4,21,MAN2A1
NM_001144758.3,21,PHLDB1
NM_001252078.2,21,USP15
NM_019053.6,21,EXOC6
NM_213599.3,21,ANO5
NM_001242898.2,21,PPP6R2
NM_002953.4,21,RPS6KA1
NM_152403.4,21,EGFLAM
NM_006842.3,21,SF3B2
NM_021082.4,21,SLC15A2
NM_006122.4,21,MAN2A2
NM_006206.6,21,PDGFRA
NM_022092.3,21,CHTF18
NM_024635.4,21,NAA35
NM_002741.5,21,PKN1
