name,counts,GeneSymbol
NM_005219.5,27,DIAPH1
NM_012335.4,27,MYO1F
NM_001096.3,27,ACLY
NM_176787.5,27,PIGN
NM_015258.2,27,FKBP15
NM_001330239.4,27,TJP1
NM_001098531.4,27,RAPGEF3
NM_005255.4,27,GAK
NM_003742.4,26,ABCB11
NM_001329630.2,26,PLEKHA7
NM_020779.4,26,WDR35
NM_017760.7,26,NCAPG2
NM_032236.8,26,USP48
NM_001377935.1,26,RAPGEF1
NM_032656.4,26,DHX37
NM_003664.5,26,AP3B1
NM_015668.5,26,RGS22
NM_004963.4,26,GUCY2C
NM_018489.3,26,ASH1L
NM_001352186.2,26,ANKS1B
NM_001079858.3,26,ADGRG2
NM_000443.4,26,ABCB4
NM_017570.5,26,OPLAH
NM_014856.3,26,DENND4B
NM_007027.4,26,TOPBP1
NM_024837.4,26,ATP8B4
NM_000234.3,26,LIG1
NM_022095.4,26,ZNF335
NM_014683.4,26,ULK2
NM_014889.4,26,PITRM1
NM_001923.5,26,DDB1
NM_001378211.1,26,SHOC1
NM_007332.3,26,TRPA1
NM_001278512.2,26,AP3B2
NM_006514.4,26,SCN10A
NM_153676.4,26,USH1C
NM_004247.4,26,EFTUD2
NM_006113.5,26,VAV3
NM_006309.4,26,LRRFIP2
NM_018392.5,26,ZGRF1
NM_002160.4,26,TNC
NM_001348946.2,26,ABCB1
NM_001252024.2,26,TRPM1
NM_005379.4,26,MYO1A
NM_000335.5,26,SCN5A
NM_006618.5,26,KDM5B
NM_001367721.1,26,CASK
NM_001099404.2,26,SCN5A
NM_001374385.1,26,ATP8B1
NM_178527.4,26,SLC9C2
NM_080597.4,26,OSBPL1A
NM_024989.4,26,PGAP1
NM_139199.2,26,BRD8
NM_153240.5,26,NPHP3
NM_019030.4,26,DHX29
NM_001145648.3,26,RASGRF1
NM_018303.6,26,EXOC2
NM_024764.4,25,CATSPERB
NM_004653.5,25,KDM5D
NM_014647.4,25,MARF1
NM_001286176.2,25,C2CD5
NM_175736.5,25,FMNL3
NM_012309.5,25,SHANK2
NM_004460.5,25,FAP
NM_002662.5,25,PLD1
NM_000625.4,25,NOS2
NM_001366661.1,25,CLUH
NM_001142699.3,25,DLG2
NM_007192.4,25,SUPT16H
NM_013448.3,25,BAZ1A
NM_001372053.1,25,ANKRD31
NM_020137.5,25,GRIPAP1
NM_001378414.1,25,HDAC4
NM_001145667.2,25,GLG1
NM_052918.5,25,SORCS1
NM_005474.5,25,HDAC5
NM_014895.4,25,CEP162
NM_001366145.2,25,TRPM3
NM_001134831.2,25,AHI1
NM_006922.4,25,SCN3A
NM_019114.5,25,EPB41L4B
NM_001199165.4,25,CEP112
NM_001142286.2,25,SMC6
NM_004819.3,25,SYMPK
NM_013432.5,25,TONSL
NM_014520.4,25,MYBBP1A
NM_024704.5,25,KIF16B
NM_015401.5,25,HDAC7
NM_022748.12,25,TNS3
NM_005336.6,25,HDLBP
NM_005245.4,25,FAT1
NM_015132.5,25,SNX13
NM_012294.5,25,RAPGEF5
NM_002226.5,25,JAG2
NM_024617.4,25,TUT7
NM_001165963.4,25,SCN1A
NM_177438.3,25,DICER1
NM_004187.5,25,KDM5C
NM_000214.3,25,JAG1
NM_001194998.2,25,CEP152
NM_030581.4,25,WDR59
NM_006017.3,25,PROM1
NM_001303256.3,25,MORC2
NM_001365536.1,25,SCN9A
NM_018230.3,25,NUP133
NM_032776.3,25,JMJD1C
NM_005334.3,25,HCFC1
NM_015272.5,25,RPGRIP1L
NM_001199161.2,25,USP19
NM_006715.4,25,MAN2C1
NM_001077207.4,25,SEC31A
NM_003184.4,25,TAF2
NM_001935.4,25,DPP4
NM_020410.3,25,ATP13A1
NM_000132.4,25,F8
NM_001321103.2,25,SLC4A7
NM_148894.3,25,BOD1L1
NM_022917.5,25,NOL6
NM_001349253.2,25,SCN11A
NM_000130.5,24,F5
NM_001372574.1,24,ATXN2
NM_006390.4,24,IPO8
NM_004336.5,24,BUB1
NM_033127.4,24,SEC16B
NM_001366722.1,24,GRIP1
NM_003071.4,24,HLTF
NM_003325.4,24,HIRA
NM_012433.4,24,SF3B1
NM_001353694.2,24,TIAM1
NM_002206.3,24,ITGA7
NM_001155.5,24,ANXA6
NM_002913.5,24,RFC1
NM_001330063.2,24,ANKFY1
NM_001184785.2,24,PARD3
NM_147129.5,24,ALS2CL
NM_001364791.2,24,ANO2
NM_015289.5,24,VPS39
NM_001365088.1,24,SLC12A6
NM_001247997.2,24,CLIP1
NM_004318.4,24,ASPH
NM_001330701.2,24,AGTPBP1
NM_001163435.3,24,TBCK
NM_001143835.2,24,NFRKB
NM_006185.4,24,NUMA1
NM_015490.4,24,SEC31B
NM_002480.3,24,PPP1R12A
NM_033026.6,24,PCLO
NM_001981.3,24,EPS15
NM_000271.5,24,NPC1
NM_001350709.2,24,DGKB
NM_001198568.2,24,ADCY4
NM_182552.5,24,WDR27
NM_007086.4,24,WDHD1
NM_001385028.1,24,MEGF11
NM_020865.3,24,DHX36
NM_001080423.4,24,GRIP2
NM_024541.3,24,ARMH3
NM_148674.5,24,SMC1B
NM_020461.4,24,TUBGCP6
NM_000170.3,24,GLDC
NM_001001998.3,24,EXOSC10
NM_006306.4,24,SMC1A
NM_014984.4,24,CEP131
NM_004521.3,24,KIF5B
NM_022111.4,24,CLSPN
NM_004969.4,24,IDE
NM_001503.4,24,GPLD1
NM_001287.6,24,CLCN7
NM_002772.3,24,TMPRSS15
NM_001014286.3,24,SUPT20H
NM_020824.4,24,ARHGAP21
NM_001387994.1,24,BAG6
NM_018406.7,24,MUC4
NM_006389.5,24,HYOU1
NM_002829.4,24,PTPN3
NM_017707.4,24,ASAP3
NM_014780.5,24,CUL7
NM_001040092.3,24,ENPP2
NM_001282874.2,24,SMARCA1
NM_014815.4,24,MED24
NM_030955.4,23,ADAMTS12
NM_018127.7,23,ELAC2
NM_030957.4,23,ADAMTS10
NM_001350599.2,23,MMS22L
NM_015171.4,23,XPO6
NM_007368.4,23,RASA3
NM_020771.4,23,HACE1
NM_004366.6,23,CLCN2
NM_006598.3,23,SLC12A7
NM_001352964.2,23,DENND1A
NM_015496.5,23,VIRMA
NM_001329998.2,23,TRANK1
NM_015540.4,23,RPAP1
NM_001258374.3,23,EPS15L1
NM_000528.4,23,MAN2B1
NM_001351695.2,23,INTS2
NM_000466.3,23,PEX1
NM_002218.5,23,ITIH4
NM_002976.4,23,SCN7A
NM_016196.4,23,RBM19
NM_001366686.3,23,SIK3
NM_201599.3,23,ZMYM3
NM_001366207.1,23,DLG1
NM_173648.4,23,CCDC141
NM_015187.5,23,SEL1L3
NM_030649.3,23,ACAP3
NM_001375765.1,23,GIGYF1
NM_014272.5,23,ADAMTS7
NM_004119.3,23,FLT3
NM_000334.4,23,SCN4A
NM_197941.4,23,ADAMTS6
NM_015395.3,23,TECPR1
NM_001723.7,23,DST
NM_020845.3,23,PITPNM2
NM_181808.4,23,POLN
NM_003335.3,23,UBA7
NM_024953.4,23,NAA25
NM_014883.4,23,FAM13A
NM_033655.5,23,CNTNAP3
NM_002227.4,23,JAK1
NM_006461.4,23,SPAG5
NM_001163735.2,23,MYO19
NM_022765.4,23,MICAL1
NM_015046.7,23,SETX
NM_005072.5,23,SLC12A4
NM_002582.4,23,PARN
NM_020654.5,23,SENP7
NM_198334.3,23,GANAB
NM_001365635.2,23,TASOR
NM_015294.6,23,TRIM37
NM_032415.7,23,CARD11
NM_003400.4,23,XPO1
NM_005051.3,23,QARS1
NM_001346.3,23,DGKG
NM_019044.5,23,CCDC93
NM_006475.3,22,POSTN
NM_201624.3,22,USP33
NM_005633.4,22,SOS1
NM_144651.5,22,PXDNL
NM_001034173.4,22,ALDH1L2
NM_002570.5,22,PCSK6
NM_016148.5,22,SHANK1
NM_033467.4,22,MMEL1
NM_001123363.4,22,RGPD6
NM_002336.3,22,LRP6
NM_001330585.2,22,CC2D1B
NM_001101669.3,22,INPP4B
NM_000400.4,22,ERCC2
NM_001365068.1,22,ASTN2
NM_001220.5,22,CAMK2B
NM_025099.6,22,CTC1
NM_025176.6,22,NINL
NM_001365613.2,22,RRBP1
NM_013390.3,22,CEMIP2
NM_198963.3,22,DHX57
NM_005073.4,22,SLC15A1
NM_001367773.1,22,ESYT2
NM_003331.5,22,TYK2
NM_152446.5,22,CEP128
NM_021962.5,22,ABR
NM_001288973.2,22,ADAM12
NM_004910.3,22,PITPNM1
NM_024898.4,22,DENND1C
NM_033274.5,22,ADAM19
NM_003151.4,22,STAT4
NM_007315.4,22,STAT1
NM_001382241.1,22,TNPO2
NM_001367977.2,22,SCUBE2
NM_033547.4,22,INTS4
NM_145027.6,22,KIF6
NM_001281775.3,22,ZMYND8
NM_002847.5,22,PTPRN2
NM_001164463.1,22,RGPD8
NM_007112.5,22,THBS3
NM_001014437.3,22,CARS1
NM_016374.6,22,ARID4B
NM_018668.5,22,VPS33B
NM_000275.3,22,OCA2
NM_022782.4,22,MPHOSPH9
NM_006939.4,22,SOS2
NM_015213.4,22,DENND5A
NM_001618.4,22,PARP1
NM_014931.4,22,PPP6R1
NM_001130058.2,22,SLC44A5
NM_001033057.2,22,MAGI1
NM_005763.4,22,AASS
NM_020935.3,22,USP37
NM_012133.6,22,COPG2
NM_001190274.2,22,FBXO11
NM_005419.4,22,STAT2
NM_033427.3,22,CTTNBP2
NM_001040424.3,22,PRDM15
NM_001195215.2,22,DENND1B
NM_001109.5,22,ADAM8
NM_139276.3,22,STAT3
NM_001347.4,22,DGKQ
NM_000110.4,22,DPYD
NM_001144013.2,22,RGPD3
NM_001378024.1,22,ARHGAP32
NM_012293.3,22,PXDN
NM_199355.4,22,ADAMTS18
NM_001083603.3,22,PTCH1
NM_018027.5,22,FRMD4A
NM_002533.4,22,NVL
NM_000264.5,22,PTCH1
NM_004319.3,22,ASTN1
NM_015601.4,22,HERC4
NM_000215.4,22,JAK3
NM_032590.5,22,KDM2B
NM_022140.5,22,EPB41L4A
NM_002846.4,22,PTPRN
NM_001012302.3,22,ANO9
NM_023034.2,22,NSD3
NM_015047.3,22,EMC1
NM_005540.3,22,INPP5B
NM_012287.6,22,ACAP2
NM_001447.3,22,FAT2
NM_020841.5,22,OSBPL8
NM_152296.5,22,ATP1A3
NM_002313.7,22,ABLIM1
NM_002547.3,22,OPHN1
NM_024525.5,22,TTC13
NM_015123.3,22,FRMD4B
NM_013312.3,22,HOOK2
NM_007294.4,21,BRCA1
NM_001433.5,21,ERN1
NM_015550.4,21,OSBPL3
NM_018245.3,21,OGDHL
NM_007361.4,21,NID2
NM_001127.4,21,AP1B1
NM_003738.5,21,PTCH2
NM_006322.6,21,TUBGCP3
NM_018115.4,21,SDAD1
NM_000440.3,21,PDE6A
NM_001031702.4,21,SEMA5B
NM_173050.5,21,SCUBE1
NM_004586.3,21,RPS6KA3
NM_002705.5,21,PPL
NM_004815.4,21,ARHGAP29
NM_153265.3,21,EML3
NM_014244.5,21,ADAMTS2
NM_033054.3,21,MYO1G
NM_015189.3,21,EXOC6B
NM_139057.4,21,ADAMTS17
NM_173812.5,21,DPY19L2
NM_022817.3,21,PER2
NM_017607.4,21,PPP1R12C
NM_001290268.2,21,RIPOR3
NM_001387579.1,21,DCAF1
NM_001042681.2,21,RERE
NM_001332.4,21,CTNND2
NM_001128.6,21,AP1G1
NM_033266.4,21,ERN2
NM_001988.4,21,EVPL
NM_001001331.4,21,ATP2B2
NM_000704.3,21,ATP4A
NM_002895.5,21,RBL1
NM_001278624.2,21,NFXL1
NM_001365552.1,21,NEK5
NM_002609.4,21,PDGFRB
NM_002616.3,21,PER1
NM_003363.4,21,USP4
NM_006348.5,21,COG5
NM_145798.3,21,OSBPL7
NM_014698.3,21,TMEM63A
NM_001160372.4,21,TRAPPC9
NM_173588.4,21,IGSF22
NM_014215.3,21,INSRR
NM_014850.4,21,SRGAP3
NM_001323532.2,21,PARP6
NM_013241.3,21,FHOD1
NM_012235.4,21,SCAP
NM_016316.4,21,REV1
NM_001668.4,21,ARNT
NM_001367534.1,21,CAMK2G
NM_015080.4,21,NRXN2
NM_014996.4,21,PLCH1
NM_001385994.1,21,FAM13B
NM_007247.6,21,SYNRG
NM_014496.5,21,RPS6KA6
NM_003750.4,21,EIF3A
